                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.28846,                0.75478,                0.85121,                0.99995,                      1,                  0.995,                0.99368,                0.17556,                0.28715,                0.77548,             0.00066521,             0.00066521,             0.00066521
                      2,                0.24459,                0.30262,                0.82741,                0.99941,                      1,                  0.995,                0.99394,                0.17491,                0.17206,                0.77207,              0.0012659,              0.0012659,              0.0012659
                      3,                0.23151,                0.25109,                0.82912,                0.99671,                0.99112,                0.99498,                0.99209,                 0.1705,                0.18306,                0.77657,              0.0018007,              0.0018007,              0.0018007
                      4,                0.21253,                0.24827,                0.82201,                0.99994,                      1,                  0.995,                0.99489,                0.13856,                0.14225,                0.77097,               0.001703,               0.001703,               0.001703
                      5,                0.19598,                0.21059,                0.82049,                0.99991,                      1,                  0.995,                0.99481,                0.12549,                0.12251,                0.76604,               0.001703,               0.001703,               0.001703
                      6,                0.18073,                0.19965,                0.81815,                0.99977,                      1,                  0.995,                0.99498,                 0.1156,                0.12067,                0.76463,               0.001604,               0.001604,               0.001604
                      7,                0.17086,                0.18071,                0.81842,                0.99994,                      1,                  0.995,                0.99495,                0.11392,                0.11492,                0.76435,               0.001505,               0.001505,               0.001505
                      8,                0.16106,                0.17371,                0.81729,                0.99995,                      1,                  0.995,                0.99498,                0.10805,                0.10154,                0.76352,               0.001406,               0.001406,               0.001406
                      9,                0.15833,                0.16934,                0.81664,                0.99995,                      1,                  0.995,                  0.995,                0.11287,                0.10896,                0.76286,               0.001307,               0.001307,               0.001307
                     10,                0.15121,                0.16149,                0.81638,                0.99995,                      1,                  0.995,                  0.995,                0.09869,                0.09743,                0.76205,               0.001208,               0.001208,               0.001208
                     11,                0.14922,                0.14715,                0.78652,                0.99868,                      1,                0.99495,                0.99489,                0.12656,                0.12173,                0.76486,               0.001109,               0.001109,               0.001109
                     12,                0.14043,                0.13476,                0.78432,                0.99994,                      1,                  0.995,                0.99497,                0.11376,                0.10571,                 0.7641,                0.00101,                0.00101,                0.00101
                     13,                0.12687,                0.12245,                0.78177,                0.99996,                      1,                  0.995,                  0.995,                0.10328,                0.09308,                0.76184,               0.000911,               0.000911,               0.000911
                     14,                0.12104,                0.11353,                0.78029,                0.99997,                      1,                  0.995,                  0.995,                0.09705,                0.08751,                 0.7627,               0.000812,               0.000812,               0.000812
                     15,                0.11354,                0.10773,                0.78223,                0.99996,                      1,                  0.995,                  0.995,                0.09572,                0.08325,                0.76222,               0.000713,               0.000713,               0.000713
                     16,                0.10531,                0.09955,                 0.7782,                0.99997,                      1,                  0.995,                  0.995,                0.09019,                0.08086,                0.76096,               0.000614,               0.000614,               0.000614
                     17,                0.10538,                0.09784,                0.78128,                0.99997,                      1,                  0.995,                  0.995,                0.08434,                 0.0749,                0.76061,               0.000515,               0.000515,               0.000515
                     18,                  0.097,                0.09009,                 0.7767,                0.99996,                      1,                  0.995,                  0.995,                 0.0833,                 0.0737,                0.76053,               0.000416,               0.000416,               0.000416
                     19,                0.09269,                 0.0857,                0.77926,                0.99997,                      1,                  0.995,                  0.995,                0.08074,                0.06758,                0.75973,               0.000317,               0.000317,               0.000317
                     20,                0.08861,                 0.0804,                0.77907,                0.99997,                      1,                  0.995,                  0.995,                0.07579,                0.06426,                0.75947,               0.000218,               0.000218,               0.000218
